internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
37960,Myrceugenia campestris,Eugenia campestris DC.,Eugenia,campestris,DC.,,
37901,Phyllanthus axillaris,Omphalea axillaris Sw.,Omphalea,axillaris,Sw.,,
14707309,Bernardia trelawniensis,Lasiocroton trelawniensis C.D.Adams,Lasiocroton,trelawniensis,C.D.Adams,,
37903,Monteverdia microcarpa,Maytenus microcarpa Fawc. &amp; Rendle,Maytenus,microcarpa,Fawc. &amp; Rendle,,
37907,Wallenia elliptica,Wallenia grisebachii Mez,Wallenia,grisebachii,Mez,,
37975,Tachigali beaurepairei,Sclerolobium beaureipairei Harms [orth. error],Sclerolobium,beaureipairei,Harms [orth. error],,
37975,Tachigali beaurepairei,Sclerolobium beaurepairei Harms,Sclerolobium,beaurepairei,Harms,,
37909,Wallenia xylosteoides,Ardisia xylosteoides Griseb.,Ardisia,xylosteoides,Griseb.,,
37978,Sclerolobium striatum,Tachigali pilgeriana (Harms) Oliveira-Filho,Tachigali,pilgeriana,(Harms) Oliveira-Filho,,
37979,Arapatiella psilophylla,Tachigali psilophylla Harms,Tachigali,psilophylla,Harms,,
37979,Arapatiella psilophylla,Arapatiella trepocarpa Rizzini & A.Mattos,Arapatiella,trepocarpa,Rizzini & A.Mattos,,
37992,Terminalia igaratensis,Buchenavia igaratensis N.F.Mattos,Buchenavia,igaratensis,N.F.Mattos,,
37992,Terminalia igaratensis,Buchenavia iguaratensis N.F.Mattos [orth. error],Buchenavia,iguaratensis,N.F.Mattos [orth. error],,
37994,Terminalia pabstii,Buchenavia pabstii Marq. &amp; C.Valente,Buchenavia,pabstii,Marq. &amp; C.Valente,,
37997,Terminalia januariensis,Terminalia januarensis DC. [orth. var.],Terminalia,januarensis,DC. [orth. var.],,
37997,Terminalia januariensis,Terminalia macroptera Mart,Terminalia,macroptera,Mart,,
37997,Terminalia januariensis,Terminalia grandialata Eichler,Terminalia,grandialata,Eichler,,
37997,Terminalia januariensis,Terminalia camuxa Pickel,Terminalia,camuxa,Pickel,,
37953,Campomanesia aromatica,Campomanesia coaetanea O.Berg,Campomanesia,coaetanea,O.Berg,,
37953,Campomanesia aromatica,Eugenia sparsiflora DC.,Eugenia,sparsiflora,DC.,,
37953,Campomanesia aromatica,Eugenia desvauxiana O.Berg,Eugenia,desvauxiana,O.Berg,,
37953,Campomanesia aromatica,Campomanesia tenuifolia (Mart. ex DC.) O.Berg,Campomanesia,tenuifolia,(Mart. ex DC.) O.Berg,,
37953,Campomanesia aromatica,Campomanesia synchrona O.Berg,Campomanesia,synchrona,O.Berg,,
37953,Campomanesia aromatica,Campomanesia sparsiflora (DC.) J.F.Macbr.,Campomanesia,sparsiflora,(DC.) J.F.Macbr.,,
