internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
19836,Saimiri oerstedii,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CEBIDAE,Saimiri,oerstedii,,,,,"(Reinhardt, 1872)","Saimiri taxonomy follows Hershkovitz (1984) and Groves (2001, 2005). An alternative taxonomy is presented by Thorington Jr. (1985) as follows: S. sciureus sciureus (includes the forms albigena, macrodon, and ustus recognized by Hershkovitz, [1984]), S. sciureus boliviensis (includes the forms pluvialis Lönnberg, 1940 and jaburuensis Lönnberg, 1940 recognized by Hershkovitz [1987]), S. sciureus cassiquiarensis, S. sciureus oerstedii (includes the form citrinellus recognized by Hershkovitz [1984]), and S. madeirae (given as a junior synonym of S. ustus by Hershkovitz [1984]). Hernández-Camacho and Defler (1989) recognize S. sciureus caquetensis Allen 1916, given as a junior synonym of S. sciureus macrodon by Hershkovitz (1984). Costello et al. (1993) argued for the recognition of just two species: S. sciureus in South America, and S. oerstedii in Panama and Costa Rica. Boinski and Cropp (1999) using two nuclear genes (IRBP and ZFX) and one mitochondrial (D-Loop) strongly support the Hershkovitz (1984) taxonomy, advocating four distinct species: Saimiri sciureus, S. boliviensis, S. oerstedii and S. ustus. See Rylands et al. (2006) for a discussion of the taxonomy of the Central American squirrel monkeys."
39826,Pygathrix nemaeus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Pygathrix,nemaeus,,,,,"(Linnaeus, 1771)","There is a single record of a hybrid Red-shanked Douc (Pygathrix nemaeus) X Grey-shanked Douc (P. cinerea) in northeastern Cambodia (Rawson and Roos 2008). Current knowledge of the zones of transition between the three douc taxa is unclear, with limited information mostly based on brief field views (Timmins and Duckworth 1999, Nadler et al. 2004, Rawson and Roos 2008). There may be a zone in Viet Nam with sympatry (and possibly hybridization) between the three taxa (Lippold et al. 2011). Both Black-shanked Douc (P. nigripes) and Grey-shanked Douc were previously considered conspecific with Red-shanked Douc"
39827,Pygathrix cinerea,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Pygathrix,cinerea,,,,,"Nadler, 1997","In the past this taxon has been considered either a subspecies of Pygathrix nemaeus, or a hybrid of P. nemaeus and P. nigripes (Nadler 1995). Other studies on the genetics of doucs show that P. cinerea and P. nemaeus are sister taxa (Roos and Nadler 2001). There is strong evidence that this taxon hybridizes with Red-shanked Doucs (P. nemaeus) in a small sympatric distribution area of Quang Nam Province (Nadler 1997) and possibly in northeast Cambodia (Rawson and Roos 2008)."
39833,Semnopithecus ajax,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Semnopithecus,ajax,,,,,"(Pocock, 1928)","This taxon was formerly considered a subspecies of Semnopithecus entellus (Molur et al. 2003).Pocock described the species in 1928 as Pithecus entellus ajax. In his 1939 review, W.C.O. Hill subsumed the taxon as a subspecies of S. schistaceus. Brandon-Jones (2004) followed with designating ajax as a subspecies of entellus. Within the group, at a same place fur coloration might change based on age and hierarchy, for example subadults fur is slightly whiter than an adult which is greyish but this needs to be studied further."
13508501,Rhinopithecus strykeri,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,strykeri,,,,,"Geissmann, Ngwe Lwin, Saw Soe Aung, Thet Naing Aung, Zin Myo Aung, Tony Htin Hla, Grindley &amp; Momberg, 2011","This is a recently described species of Snub-nosed Monkey from the high altitudes of northeastern Kachin state, northeastern Myanmar. Descriptions are based on a skin and skulls of four specimens obtained from local hunters. The new species is geographically isolated from other Snub-nosed Monkeys and separated from them by two major barriers the Mekong and the Salween (Thanlwin) rivers. It is closely related to Rhinopithecus bieti"
19597,Rhinopithecus bieti,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,bieti,,,,,"Milne-Edwards, 1897",Groves in Wilson and Reeder (1993) also treats this as a distinct species but under the genus Pygathrix. There is now good support to keep it in Rhinopithecus see Novak (1999).
19594,Rhinopithecus avunculus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,avunculus,,,,,"(Dollman, 1912)",This species was formerly considered to be in the genus Pygathrix.
5144,Colobus polykomos,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Colobus,polykomos,,,,,"(E.A.W. Zimmermann, 1780)","Booth (1954), Oates and Trocco (1983), Groves et al. (1993), Groves (2001) and Grubb et al. (2003) considered Dollman’s Black-and-White Colobus monkey, Colobus polykomos dollmani Schwarz, 1927, from areas between the Sassandra and Bandama Rivers in Western Côte d’Ivoire to be a hybrid of C. vellerosus × C. polykomos. Groves (2001, 2005, 2007) and Grubb et al. (2003) listed dollmani as a junior synonym of C. vellerosus. The question of the validity or otherwise of this form was raised by Gonedelé Bi et al. (2006) who, carried out surveys in 2003–2004 in three forest reserves and Marahoué National Park in search of Colobus polykomos dollmani between the Sassandra and Bandama Rivers and found just one group in Bolo Forest Reserve. But reviewing the evidence, Oates and McGraw (2009) opined that dollmani is a Colobus polykomos x Colobus vellerosus hybrid and should not be considered as a subspecies. Gonedelé Bi et al. (2014) subsequently conducted a survey in 2012 in the same region, but Bolo-Dassiéko-Niégré complex had been converted into a cocoa plantation. They found one group in Grébouo I Forest Grove, which is in close proximity to Bolo, where they found that the monkeys had a similar pelage as Colobus vellerosus, but in one vocal aspect, they were similar to Colobus polykomos. However, modest vocal data analysed by these authors produced more complex results. In one parameter (duration), the roar was similar to Colobus vellerosus; whereas it was more similar to Colobus polykomos than to Colobus vellerosus in the number of roars or subunit calls. Hence, Gonedelé Bi et al. (2014) were reluctant to draw definitive conclusions based on vocalisations."
4229,Cercopithecus sclateri,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,sclateri,,,,,"Pocock, 1904",""
4217,Cercopithecus erythrogaster,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,erythrogaster,,,,,"Gray, 1866",Groves (2001) and Grubb et al. (2003) recognize two subspecies: Cercopithecus erythrogaster erythrogaster and C. e. pococki. It belongs to the Cercopithecus cephus species group.
136569,Macaca munzala,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,munzala,,,,,"Madhusudan &amp; Mishra, 2005","Morphology, genetics and taxonomic variation in northeastern Indian macaques, including this taxon, is very poorly known (Sinha et al. 2006a, Chakraborty et al. 2007). Further taxonomic research is required in order to better understand its relationship to Macaca assamensis and M. thibetana."
39795,Macaca siberu,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,siberu,,,,,"Fuentes &amp; Olson, 1995","Siberut Macaques were initially thought to be a subspecies of the southern pigtail macaque - Macaca nemestrina pagensis (Fooden 1975) and then of the Mentawai/Pagai macaque of the southern Mentawai Islands - M. pagensis siberu (Fuentes and Olson 1995). More recently, genetic and morphological studies led to their classification as a distinct species (Kitchener &amp; Groves 2002, Roos et al. 2003), showing that this primate is more closely related to M. nemestrina on Sumatra and Malaysia than to M. pagensis on the neighboring Mentawai Islands (Ziegler et al. 2007, Richter et al. 2013). Along with M. pagensis, M. leonina, M. nemestrina and M. silenus, it belongs to the ‘silenus group’ (Roos et al. 2003)."
