assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
17951402,12559,Macaca silenus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,silenus,,,,"(Linnaeus, 1758)",Endangered,C2a(i),3.1,Decreasing,Global
17952490,12753,Mandrillus leucophaeus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Mandrillus,leucophaeus,,,,"(F. Cuvier, 1807)",Endangered,A2cd,3.1,Decreasing,Global
17953422,20229,Simias concolor,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Simias,concolor,,,,"Miller, 1903",Critically Endangered,A2acd,3.1,Decreasing,Global
17954271,39811,Presbytis melalophos,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Presbytis,melalophos,,,,"(Raffles, 1821)",Endangered,A2acd+4acd,3.1,Decreasing,Global
17954456,39815,Presbytis potenziani,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Presbytis,potenziani,,,,"(Bonaparte, 1856)",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
17955321,39803,Presbytis chrysomelas,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Presbytis,chrysomelas,,,,"(Müller, 1838)",Critically Endangered,A2ac+3c,3.1,Decreasing,Global
17955753,4203,Cercocebus sanjei,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Cercocebus,sanjei,,,,"Mittermeier, 1986",Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global
17956177,4207,Cercocebus chrysogaster,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Cercocebus,chrysogaster,,,,"Lydekker, 1900",Endangered,A4cd,3.1,Decreasing,Global
17956330,4200,Cercocebus galeritus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Cercocebus,galeritus,,,,"Peters, 1879",Critically Endangered,A3c,3.1,Decreasing,Global
17958817,39853,Trachypithecus francoisi,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,francoisi,,,,"(Pousargues, 1898)",Endangered,A2acd+3cd; C1+2a(i),3.1,Decreasing,Global
17958988,22043,Trachypithecus delacouri,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,delacouri,,,,"(Osgood, 1932)",Critically Endangered,A2cd; C2a(i),3.1,Decreasing,Global
17959133,22044,Trachypithecus laotum,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,laotum,,,,"(Thomas, 1911)",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
17959452,22042,Semnopithecus vetulus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Semnopithecus,vetulus,,,,"(Erxleben, 1777)",Endangered,A2cd+3cd,3.1,Decreasing,Global
17959804,39871,Trachypithecus poliocephalus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,poliocephalus,,,,"(Pousargues, 1898)",Critically Endangered,D,3.1,Increasing,Global
17960562,22039,Trachypithecus obscurus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,obscurus,,,,"(Reid, 1837)",Endangered,A2cd,3.1,Decreasing,Global
17961202,39869,Trachypithecus shortridgei,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,shortridgei,,,,"Wroughton, 1915",Endangered,A2cd+3cd,3.1,Decreasing,Global
17961368,136791,Rungwecebus kipunji,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Rungwecebus,kipunji,,,,"(Ehardt, Butynski, Jones &amp; Davenport, 2005)",Endangered,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Decreasing,Global
17962115,40652,Paragalago rondoensis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,GALAGIDAE,Paragalago,rondoensis,,,,"(Honess in Kingdon, 1997)",Endangered,"B2ab(ii,iii,v)",3.1,Decreasing,Global
17966495,10550,Hylobates moloch,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,moloch,,,,"(Audebert, 1798)",Endangered,A4cd,3.1,Decreasing,Global
17966665,10552,Hylobates pileatus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,pileatus,,,,"Gray, 1861",Endangered,A2cd+3cd,3.1,Decreasing,Global
17967053,39879,Hylobates albibarbis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,albibarbis,,,,"Lyon, 1911",Endangered,A4cd,3.1,Decreasing,Global
17967253,10548,Hylobates lar,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,lar,,,,"(Linneaus, 1771)",Endangered,A2cd+3cd,3.1,Decreasing,Global
17967475,10547,Hylobates klossii,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,klossii,,,,"(G.S. Miller, 1903)",Endangered,A4cd,3.1,Decreasing,Global
17967655,10543,Hylobates agilis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hylobates,agilis,,,,"F. Cuvier, 1821",Endangered,A2cd+4cd,3.1,Decreasing,Global
17967873,39779,Symphalangus syndactylus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Symphalangus,syndactylus,,,,"(Raffles, 1821)",Endangered,A4cd,3.1,Decreasing,Global
17968083,39876,Hoolock hoolock,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Hoolock,hoolock,,,,"(Harlan, 1834)",Endangered,A4acd,3.1,Decreasing,Global
17968556,39775,Nomascus concolor,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Nomascus,concolor,,,,"(Harlan, 1826)",Critically Endangered,A2acd+3cd,3.1,Decreasing,Global
17968765,39896,Nomascus siki,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,HYLOBATIDAE,Nomascus,siki,,,,"(Delacour, 1951)",Critically Endangered,A4cd,3.1,Decreasing,Global
