internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
19836,Saimiri oerstedii,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CEBIDAE,Saimiri,oerstedii,,,,,"(Reinhardt, 1872)","<em>Saimiri</em> taxonomy follows Hershkovitz (1984) and Groves (2001, 2005). An alternative taxonomy is presented by Thorington Jr. (1985) as follows: <em>S. sciureus sciureus</em> (includes the forms <em>albigena</em>, <em>macrodon</em>, and <em>ustus</em> recognized by Hershkovitz, [1984]), <em>S. sciureus boliviensis</em> (includes the forms <em>pluvialis</em> Lönnberg, 1940 and <em>jaburuensis</em> Lönnberg, 1940 recognized by Hershkovitz [1987]), <em>S. sciureus cassiquiarensis</em>, <em>S. sciureus oerstedii</em> (includes the form <em>citrinellus</em> recognized by Hershkovitz [1984]), and <em>S. madeirae</em> (given as a junior synonym of <em>S. ustus</em> by Hershkovitz [1984]). Hernández-Camacho and Defler (1989) recognize <em>S. sciureus caquetensis</em> Allen 1916, given as a junior synonym of <em>S. sciureus macrodon</em> by Hershkovitz (1984). Costello <em>et al.</em> (1993) argued for the recognition of just two species: <em>S. sciureus</em> in South America, and <em>S. oerstedi</em>i in Panama and Costa Rica. Boinski and Cropp (1999) using two nuclear genes (IRBP and ZFX) and one mitochondrial (D-Loop) strongly support the Hershkovitz (1984) taxonomy, advocating four distinct species: <em>Saimiri sciureus</em>, <em>S. boliviensis</em>, <em>S. oerstedii</em> and <em>S. ustus</em>.  <br/> <br/>See Rylands <em>et al.</em> (2006) for a discussion of the taxonomy of the Central American squirrel monkeys."
39826,Pygathrix nemaeus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Pygathrix,nemaeus,,,,,"(Linnaeus, 1771)","There is a single record of a hybrid Red-shanked Douc (<em>Pygathrix nemaeus</em>) X Grey-shanked Douc (<em>P. cinerea</em>) in northeastern Cambodia (Rawson and Roos 2008). Current knowledge of the zones of transition between the three douc taxa is unclear, with limited information mostly based on brief field views (Timmins and Duckworth 1999, Nadler <em>et al</em>. 2004, Rawson and Roos 2008). There may be a zone in Viet Nam with sympatry (and possibly hybridization) between the three taxa (Lippold <em>et al.</em> 2011). Both Black-shanked Douc (<em>P. nigripes</em>) and Grey-shanked Douc were previously considered conspecific with Red-shanked Douc"
39827,Pygathrix cinerea,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Pygathrix,cinerea,,,,,"Nadler, 1997","In the past this taxon has been considered either a subspecies of <em>Pygathrix nemaeus</em>, or a hybrid of <em>P. nemaeus </em>and <em>P. nigripes</em> (Nadler 1995). Other studies on the genetics of doucs show that <em>P. cinerea </em>and <em>P. nemaeus</em> are sister taxa (Roos and Nadler 2001). There is strong evidence that this taxon hybridizes with Red-shanked Doucs (<em>P. nemaeus</em>) in a small sympatric distribution area of Quang Nam Province (Nadler 1997) and possibly in northeast Cambodia (Rawson and Roos 2008)."
39833,Semnopithecus ajax,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Semnopithecus,ajax,,,,,"(Pocock, 1928)","This taxon was formerly considered a subspecies of <em>Semnopithecus entellus</em> (Molur <em>et al</em>. 2003).<br/><br/>Pocock described the species in 1928 as <em>Pithecus entellus ajax</em>. In his 1939 review, W.C.O. Hill subsumed the taxon as a subspecies of <em>S. </em><em>schistaceus.</em><em> </em>Brandon-Jones (2004) followed with designating <em>ajax</em> as a subspecies of <em>entellus</em>. Within the group, at a same place fur coloration might change based on age and hierarchy, for example subadults fur is slightly whiter than an adult which is greyish but this needs to be studied further."
13508501,Rhinopithecus strykeri,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,strykeri,,,,,"Geissmann, Ngwe Lwin, Saw Soe Aung, Thet Naing Aung, Zin Myo Aung, Tony Htin Hla, Grindley &amp; Momberg, 2011","<p>This is a recently described species of Snub-nosed Monkey from the high altitudes of northeastern Kachin state, northeastern Myanmar. Descriptions are based on a skin and skulls of four specimens obtained from local hunters. The new species is geographically isolated from other Snub-nosed Monkeys and separated from them by two major barriers the Mekong and the Salween (Thanlwin) rivers.    </p><p>It is closely related to <em>Rhinopithecus</em><em> </em><em>bieti</em></p>"
19597,Rhinopithecus bieti,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,bieti,,,,,"Milne-Edwards, 1897",Groves in Wilson and Reeder (1993) also treats this as a distinct species but under the genus <em>Pygathrix</em>. There is now good support to keep it in <em>Rhinopithecus</em> see Novak (1999).
19594,Rhinopithecus avunculus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Rhinopithecus,avunculus,,,,,"(Dollman, 1912)",This species was formerly considered to be in the genus <em>Pygathrix</em>.
5144,Colobus polykomos,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Colobus,polykomos,,,,,"(E.A.W. Zimmermann, 1780)","Booth (1954), Oates and Trocco (1983), Groves <em>et al</em>. (1993), Groves (2001) and Grubb <em>et al</em>. (2003) considered Dollman’s Black-and-White Colobus monkey, <em>Colobus polykomos dollmani</em> Schwarz, 1927, from areas between the Sassandra and Bandama Rivers in Western Côte d’Ivoire to be a hybrid of <em>C. vellerosus</em> × <em>C. polykomos</em>. Groves (2001, 2005, 2007) and Grubb <em>et al</em>. (2003) listed <em>dollmani</em> as a junior synonym of <em>C. vellerosus</em>. The question of the validity or otherwise of this form was raised by Gonedelé Bi <em>et al</em><em>.</em> (2006) who, carried out surveys in 2003–2004 in three forest reserves and Marahoué National Park in search of <em>Colobus polykomos dollmani </em>between the Sassandra and Bandama Rivers and found just one group in Bolo Forest Reserve. But reviewing the evidence, Oates and McGraw (2009) opined that <em>dollmani</em> is a <em>Colobus polykomos</em> x <em>Colobus vellerosus </em>hybrid and should not be considered as a subspecies. Gonedelé Bi <em>et al</em>. (2014) subsequently conducted a survey in 2012 in the same region, but </span>Bolo-Dassiéko-Niégré complex had been converted into a cocoa plantation. They found one group in Grébouo I Forest Grove, which is in close proximity to Bolo, where they found that the monkeys had a similar pelage as <em>Colobus vellerosus</em>, but in one vocal aspect, they were similar to <em>Colobus polykomos</em>. However, modest vocal data analysed by these authors produced more complex results. In one parameter (duration), the roar was similar to <em>Colobus vellerosus</em>; whereas it was more similar to <em>Colobus polykomos </em>than to <em>Colobus vellerosus </em>in the number of roars or subunit calls. Hence, Gonedelé Bi <em>et al</em>. (2014) were reluctant to draw definitive conclusions based on vocalisations."
4229,Cercopithecus sclateri,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,sclateri,,,,,"Pocock, 1904",
4217,Cercopithecus erythrogaster,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,erythrogaster,,,,,"Gray, 1866",Groves (2001) and Grubb <em>et al.</em> (2003) recognize two subspecies: <em>Cercopithecus erythrogaster erythrogaster</em> and <em>C. e. pococki. </em>It belongs to the <em>Cercopithecus cephus</em> species group.
136569,Macaca munzala,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,munzala,,,,,"Madhusudan &amp; Mishra, 2005","Morphology, genetics and taxonomic variation in northeastern Indian macaques, including this taxon, is very poorly known (Sinha <em>et al.</em> 2006a, Chakraborty <em>et al</em>. 2007). Further taxonomic research is required in order to better understand its relationship to <em>Macaca assamensis</em> and <em>M. thibetana</em>."
39795,Macaca siberu,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,siberu,,,,,"Fuentes &amp; Olson, 1995","<p><span class=""nlmpublisher-loc"">Siberut Macaques were initially thought to be a subspecies of the southern pigtail macaque - <span class=""nlmpublisher-loc""><em>Macaca nemestrina pagensis</em><span class=""nlmpublisher-loc""> (Fooden 1975) and then of the Mentawai/Pagai macaque of the southern Mentawai Islands - <span class=""nlmpublisher-loc""><em>M. pagensis siberu</em></span><span class=""nlmpublisher-loc""> (Fuentes and Olson 1995). More recently, genetic and morphological studies led to their classification as a distinct species (Kitchener &amp; Groves 2002, Roos et al. 2003), showing that this primate is more closely related to <span class=""nlmpublisher-loc""><em>M. nemestrina</em><span class=""nlmpublisher-loc""> on Sumatra and Malaysia than to <span class=""nlmpublisher-loc""><em>M. pagensis</em></span><span class=""nlmpublisher-loc""> on the neighboring Mentawai Islands (Ziegler et al. 2007, Richter et al. 2013). Along with <span class=""nlmpublisher-loc""><em>M. pagensis</em><span class=""nlmpublisher-loc"">, <span class=""nlmpublisher-loc""><em>M. leonina</em></span><span class=""nlmpublisher-loc"">, <span class=""nlmpublisher-loc""><em>M. nemestrina</em><span class=""nlmpublisher-loc""> and <span class=""nlmpublisher-loc""><em>M. silenus</em></span><span class=""nlmpublisher-loc"">, it belongs to the <span class=""nlmpublisher-loc"">‘<span class=""nlmpublisher-loc""><em>silenus</em> group<span class=""nlmpublisher-loc"">’ </span><span class=""nlmpublisher-loc"">(Roos <em>et al</em>. 2003).<span class=""nlmpublisher-loc""></span></span></span></span></span></span></p>"
39794,Macaca pagensis,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,pagensis,,,,,"(Miller, 1903)","<p>Until relatively recently, <em>Macaca pagensis</em> included <em>M. siberu </em>(Roos <em>et al</em>. 2003). It is now considered a separate species from <em>M.</em><em> </em><em>siberu</em> due to genetic and morphological difference. Earlier it was considered as a subspecies of <em>M.</em><em> </em><em>nemestrina</em> until established as a separate species.</p>"
12556,Macaca nigra,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,nigra,,,,,"(Desmarest, 1822)","<p>Individuals with intermediate characteristics, presumably hybrids, have historically been seen along the border of this species' range and that of <em>Macaca nigrescens </em>(although this contact zone may no longer exist; Sugardjito <em>et al</em>. 1989). The zone of intergradation is the downstream region of the Onggak Dumoga River and Groves (1980) placed <em>M.</em><em> </em><em>nigrescens</em> as a subspecies of <em>M.</em><em> </em><em>nigra</em>. Despite the morphological and genetical similarity, <em>M.</em><em> </em><em>nigra</em> and <em>M.</em><em> </em><em>nigrescens</em> are still distinct and therefore classified as distinct species (Groves 2001). <em>Macaca nigra</em> belongs to the <em>silenus </em>group including <em>M.</em><em> </em><em>pagensis</em>, <em>M.</em><em> </em><em>siberu</em>, <em>M.</em><em> leonina</em>, <em>M. silenus</em>, and <em>M. </em><em>nemestrina</em>.</p>"
12560,Macaca sinica,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,sinica,,,,,"(Linneaus, 1771)","Aside from the two previously recognized forms, a third subspecies, <em>M. s. opisthomelas</em>, is also now also recognized by primate field biologists in Sri Lanka, which is assessed separately here. There is some inter-gradation between the three subspecies (Groves, 2001; Dittus, 2013).<br/><br/>The taxonomy of <em>Macaca sinica</em>:<br/><br/>The species belongs to the <em>sinica </em>group (Groves, 2001)<strong>. </strong>Three subspecies are recognized and assessed here:<br/><br/><ul><li><em>Macaca sinica sinica </em>(Linnaeus, 1771)</li><li><em>Macaca sinica aurifrons </em>(Pocock, 1931)</li><li><em>Macaca sinica opisthomelas </em>(Hill, 1942)</li></ul><br/>In addition to the two previously recognized forms, a third subspecies, <em>M. s. opisthomelas </em>first described by<em>&#160;</em>Hill (1942), is confirmed by primate field biologists in Sri Lanka (Dittus 2013; Eisenberg and McKay 1970; Phillips 1935, 1980). It is a distinct phenotype apical in the higher elevations of the montane zone. It is not a type intermediate (in morphology or geographic distribution) between <em>M. s. aurifrons</em> and <em>M. s. sinica</em> as had been suggested by Brandon-Jones et al. (2004) and Groves (2001) following the suggestion by Fooden (1979). It was first assessed in 2003 (CAMP 2003, Molur <em>et al</em>. 2003, Dittus <em>et al</em>. 2008) and is updated here along with the other macaque subspecies. A fourth population<em> M. s. longicaudata </em>has been described by Deraniyagala (1965) but its status is uncertain and has been considered as a variant <em>of M. s. sinica</em> (Eisenberg and McKay, 1970).&#160; There are some intergradations between the three subspecies where their respective areas of occupancy overlap (Groves, 2001).      <p>  </p>      <p>  <br/><strong></strong></p>        <br/><p></p>"
12559,Macaca silenus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Macaca,silenus,,,,,"(Linnaeus, 1758)","<p><em>Macaca silenus</em> is a member of the silenus group. The other phylogenetic sister species in this group include <em>M.</span></em><em> </em><em>leonina</span></em>, <em>M.</span></em><em> </em><em>siberu, M.</span></em><em> </em><em>nemestrina</span></em>, <em>M.</span></em><em> </em><em>pagensis</span></em> and the seven Sulawesi species. </span></p>"
12753,Mandrillus leucophaeus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Mandrillus,leucophaeus,,,,,"(F. Cuvier, 1807)","<p>Formerly placed by some in the genus <em>Papio </em>(Wolfheim, 1983), genetic analyses shows <em>Mandrillus</em> is more closely related to <em>Cercocebus</em> than to <em>Papio</em> (Disotell <em>et al</em>. 1992, Disotell 1994); morphological research concurs (Fleagle and McGraw 1999, McGraw and Fleagle 2006).<br/><br/>There are two subspecies: <em>M. l. leucophaeus</em> on the mainland, and <em>M. l. poensis</em> on Bioko (Zukowsky 1922). Grubb <em>et al.</em> (2003) commented that on present evidence the two forms appear very similar.</p>"
20229,Simias concolor,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Simias,concolor,,,,,"Miller, 1903","<p>This species was formerly placed in the genus <em>Nasalis</em>. Recent molecular analysis suggest a close relationship between <em>Simias</em> and <em>Nasalis</em>, however, current classification still places <em>Simias concolor</em> in its own genus (Whittaker <em>et al</em>. 2006). To date, two subspecies are recognised, primarily based on slight differences in pelage colouration: <em>S. c. concolor</em>, which is found in Indonesia on the islands of Sipora, North Pagai, as well as South Pagai, and <em>S. c. siberu</em>, which is exclusively found on the island of Siberut (Miller 1903, Chasen and Kloss 1927).</p>"
39811,Presbytis melalophos,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Presbytis,melalophos,,,,,"(Raffles, 1821)","All of the former subspecies of <em>Presbytis melalophos</em> are now recognised as distinct species. However, the species has colour morphs: the ‘foxy-red <em>nobilis</em>’, ‘less-reddish <em>ferruginae</em>’ and ‘golden buff <em>aurata</em>’, black chested, white tail tipped and the hands and feet black. A fourth form ‘<em>fluvialtilis</em>’ described in 1940 by N.F. Chasen of Palembang, Sumatra is also accounted for."
